Issue code,Issue name,Close,Change,%Change,Open,High,Low,Trading volume,Trading value,Market cap.,No.of listed shares
170900,Donga ST,40000,-950,-2.32,41050,41100,39700,21130,845817500,3.89113E+11,9727819
640,Donga Socio Holdings,90300,0,0,90200,90800,88200,19652,1758344200,6.07947E+11,6732527
7590,DongbangAgro,5980,20,0.34,5960,6000,5930,14069,83795090,81433110460,13617577
4140,DongbangTrnspt&Log,2080,-80,-3.7,2170,2205,2055,555616,1162191442,99781273280,47971766
5960,Dongbu Corporation,6940,-140,-1.98,7290,7300,6800,106524,739098545,1.5925E+11,22946663
5965,Dongbu(1P),16920,-740,-4.19,17790,17790,16920,1278,21860880,3819385440,225732
2210,DongsungPharm,973,0,0,0,0,0,0,0,94010780311,96619507
20,DongwhaPharm,5630,-170,-2.93,5800,5840,5610,116988,663316170,1.57254E+11,27931470
30720,DongwonFish,6000,-130,-2.12,6130,6130,5940,33161,199539960,27922830000,4653805
6040,DongwonInd,35500,300,0.85,35050,35600,34550,69138,2432289700,1.567E+12,44140819
241560,Doosan Bobcat,64700,-2100,-3.14,67900,68100,63600,508879,32974926800,6.20189E+12,95856065
34020,Doosan Enerbility,105600,-300,-0.28,107400,107500,102500,4626529,4.8515E+11,6.76433E+13,640561146
454910,Doosan Robotics,106500,6100,6.08,103200,107300,100000,1294831,1.34902E+11,6.90333E+12,64819980
336260,Doosanfc,91400,-7100,-7.21,97700,98800,90600,978271,91185766900,5.98613E+12,65493726
33626K,Doosanfc(1P),10240,-1010,-8.98,11200,11260,10240,63535,669256770,1.36849E+11,13364200
33626L,Doosanfc(2PB),10690,-600,-5.31,11300,11580,10690,8870,97008730,31923547000,2986300
192080,DoubleUGames,68400,-1600,-2.29,70000,71400,66500,126943,8766300650,1.44827E+12,21173468
4830,Duksung,3930,-150,-3.68,4140,4140,3845,161139,631636221,61622400000,15680000
4835,Duksung(1P),6120,60,0.99,6110,6170,6010,7247,44103420,8519040000,1392000
145210,Dynamic Design,224,0,0,0,0,0,0,0,9461013632,42236668
88260,E KOCREF,4100,-80,-1.91,4200,4200,4060,51524,211146369,2.59701E+11,63341590
84680,E-WORLD,1335,-35,-2.55,1313,1363,1312,627586,833366724,1.89311E+11,141806193
17940,E1,85900,-1400,-1.6,88100,89000,84800,18408,1580500550,5.89274E+11,6860000
450080,ECOPRO MAT,62200,-2300,-3.57,64600,64800,61500,507743,31725235400,4.39789E+12,70705607
74610,ENPLUS,5110,0,0,0,0,0,0,0,44815400070,8770137
365550,ESRKSREIT,3945,-90,-2.23,3955,4005,3870,296578,1163584707,9.70821E+11,246089000
1200,EUGENEIS,4755,-50,-1.04,4830,4900,4600,1337270,6300047977,4.606E+11,96866418
700,EUSU HOLDINGS,5350,-10,-0.19,5360,5440,5280,75653,402069350,1.39324E+11,26041812
19490,EXICURE HITRON,541,0,0,0,0,0,0,0,41349858070,76432270
8250,EagonInd,3025,-200,-6.2,3225,3230,3000,72594,221251600,33131720875,10952635
11090,Enex,1414,-3,-0.21,1423,1469,1353,75939,107200609,16965635792,11998328
383220,F&F,72900,-300,-0.41,75000,75300,70100,116679,8390629100,2.79259E+12,38307075
7700,F&F Holdings,17670,-150,-0.84,18200,18200,17220,12841,223255780,6.91151E+11,39114367
36580,FARMSCO,2540,-40,-1.55,2650,2650,2480,60997,154278335,93288975220,36727943
133820,FINEBESTEEL,1226,-59,-4.59,1287,1287,1200,245739,304371958,45502379452,37114502
10820,FIRSTEC,9330,-740,-7.35,10580,10590,9200,1807826,17213009830,4.55042E+11,48771938
93370,FOOSUNG,11470,-420,-3.53,11930,11930,11170,2061958,23529917310,1.23022E+12,107255330
16800,Fursys,29100,-750,-2.51,29250,29650,28600,4375,126696875,3.3465E+11,11500000
11420,GALAXIA SM,1545,-49,-3.07,1593,1602,1531,80633,125594335,42564199980,27549644
500,GAONCABLE,322000,-19000,-5.57,348000,353000,320000,81175,26555864000,5.32688E+12,16543115
6280,GC Biopharma Corp.,141400,-1300,-0.91,143600,144800,139000,70791,10038246750,1.65248E+12,11686538
5250,GC Corp.,12920,-470,-3.51,13410,13420,12920,980897,12732129735,6.07604E+11,47028210
5257,GC Corp.(2PB),22800,-800,-3.39,23300,23300,22550,3127,71103850,19288572000,845990
11000,GENEONE,1122,-58,-4.92,1180,1262,1118,4269478,5062795933,1.01971E+11,90882907
114090,GKL,10610,-10,-0.09,10800,10800,10310,1102501,11672079365,6.56289E+11,61855670
13870,GMB Korea,3930,-140,-3.44,4040,4100,3900,217556,859297046,74954060400,19072280
83420,GREEN CHEMICAL,4895,-165,-3.26,5060,5070,4885,69787,342782544,1.1748E+11,24000000
78930,GS,72500,-1600,-2.16,74600,74800,70400,309759,22304393100,6.73492E+12,92895495
6360,GS E&C,30500,1700,5.9,29600,30700,27800,1933379,57096156300,2.61024E+12,85581490
1250,GS Global,3245,-195,-5.67,3450,3470,3150,1319551,4279527447,2.67822E+11,82533764
499790,GS P&L,43500,-1400,-3.12,45750,45750,41600,154859,6633965075,8.62642E+11,19830841
7070,GS Retail,25550,200,0.79,25650,25850,24350,188279,4733189025,2.13617E+12,83607415
78935,GS(1P),54700,-900,-1.62,55600,56200,54500,7786,427647000,97348277200,1779676
37710,Gwangju Shinsegae,33700,-1000,-2.88,34550,35000,33600,22154,752567075,2.57036E+11,7627172
3530,H.I.S.C,6120,-80,-1.29,6290,6390,6000,1819681,11137528250,1.31303E+12,214547775
3535,H.I.S.C(1P),7410,20,0.27,7400,7500,7060,24040,173656920,35568000000,4800000
241590,H.S.ENTERPRISE,3530,-10,-0.28,3570,3595,3425,95481,332220940,2.1388E+11,60589276
195870,HAESUNG DS,89100,-1500,-1.66,95500,95600,83400,382132,33649943850,1.5147E+12,17000000
86790,HANAFINANCIALGR,115100,-200,-0.17,117500,117500,113100,1532538,1.7628E+11,3.15797E+13,274367748
9420,HANALL BIOPHARMA,62500,0,0,70000,70000,61800,1379694,89605873350,3.26504E+12,52240638
39130,HANATOUR SERVICE,37900,550,1.47,37400,37950,37250,45588,1710437475,5.87068E+11,15489932
2390,HANDOK,8410,-60,-0.71,8470,8520,8100,129453,1132025510,1.15751E+11,13763533
143210,HANDS CORPORATION,1199,0,0,0,0,0,0,0,26229020653,21875747
300720,HANILCMT,14470,-50,-0.34,14650,14710,14170,128339,1856113620,1.0642E+12,73545209
3300,HANILHOLDINGS,16320,80,0.49,16350,16450,16110,19752,322226400,5.03193E+11,30832884
180640,HANJINKAL,110100,1600,1.47,111400,119300,110000,2619622,2.89432E+11,7.35053E+12,66762279
18064K,HANJINKAL(1P),29400,200,0.68,29500,30750,28650,3878,113944225,15780920400,536766
240,HANKOOK & COMPANY,24300,200,0.83,24300,24950,23800,154217,3735594650,2.30693E+12,94935240
161390,HANKOOK TIRE & TECHNOLOGY,66800,3800,6.03,64300,66800,63300,1499116,99068072550,8.27485E+12,123875069
123690,HANKOOKCOSMETICS,7140,-250,-3.38,7350,7420,7000,131243,935070395,1.14726E+11,16068000
42700,HANMISemi,282000,-10500,-3.59,301000,301000,277500,1603208,4.54685E+11,2.6878E+13,95312200
11500,HANNONG,18620,-380,-2,19080,19230,17990,150713,2763776075,2.91162E+11,15637042
69640,HANSAEMK,1230,71,6.13,1181,1236,1130,76991,89941811,27555998730,22403251
4150,HANSOL HOLDINGS,4140,75,1.85,4100,4200,3885,642216,2582422133,1.6985E+11,41026620
213500,HANSOLPAPER,6660,10,0.15,6560,6690,6540,68480,451030575,1.58512E+11,23800576
12450,HANWHA AEROSPACE,1173000,-27000,-2.25,1210000,1233000,1161000,348297,4.10736E+11,6.04839E+13,51563401
452260,HANWHA GALLERIA,3010,-60,-1.95,3015,3100,2930,2316910,6935334481,5.83517E+11,193859610
45226K,HANWHA GALLERIA(1P),6200,-270,-4.17,6480,6480,6120,14198,88853050,18007714000,2904470
88350,HANWHA LIFE,4880,-55,-1.11,4990,5050,4775,5368100,26211965383,4.23843E+12,868530000
9830,HANWHA SOLUTIONS,41850,1150,2.83,41350,42500,40000,2014605,83121085700,7.1937E+12,171892536
9835,HANWHA SOLUTIONS(1P),23200,-350,-1.49,23550,23800,22800,18603,432102525,59748096800,2575349
272210,HANWHA SYSTEMS,105000,-900,-0.85,107900,109300,102500,1170037,1.2264E+11,1.98365E+13,188919389
00088K,HANWHA(3PB),47600,100,0.21,47600,48250,44700,136137,6285959875,9.23651E+11,19404441
